TIMESTAMP,year,doy,VWC0,VWC20,Watertable,rWatertable
3/2/2016,2016,62,0.39,0.23,226.04,0.1
3/3/2016,2016,63,0.39,0.23,224.1,0.1
3/4/2016,2016,64,0.38,0.22,207.06,0.09
3/5/2016,2016,65,0.38,0.22,192.25,0.07
3/6/2016,2016,66,0.39,0.23,185.24,0.06
3/7/2016,2016,67,0.39,0.24,184.81,0.06
3/8/2016,2016,68,0.4,0.24,190.85,0.07
3/9/2016,2016,69,0.42,0.24,209.85,0.09
3/10/2016,2016,70,0.42,0.24,193.19,0.07
3/11/2016,2016,71,0.42,0.24,186.92,0.07
3/12/2016,2016,72,0.42,0.24,193.56,0.07
3/13/2016,2016,73,0.42,0.24,211.08,0.09
3/14/2016,2016,74,0.43,0.25,235.6,0.11
3/15/2016,2016,75,0.45,0.26,259.06,0.14
3/16/2016,2016,76,0.49,0.31,284.81,0.16
3/17/2016,2016,77,0.49,0.31,281.75,0.16
3/18/2016,2016,78,0.48,0.29,269.98,0.15
3/19/2016,2016,79,0.47,0.27,261.23,0.14
3/20/2016,2016,80,0.46,0.27,255.85,0.13
3/21/2016,2016,81,0.46,0.27,253.08,0.13
3/22/2016,2016,82,0.46,0.26,251.75,0.13
3/23/2016,2016,83,0.45,0.25,246.17,0.12
3/24/2016,2016,84,0.45,0.25,240.81,0.12
3/25/2016,2016,85,0.45,0.25,235.98,0.11
3/26/2016,2016,86,0.45,0.25,236,0.11
3/27/2016,2016,87,0.45,0.25,232.83,0.11
3/28/2016,2016,88,0.44,0.25,229.49,0.11
3/29/2016,2016,89,0.44,0.25,227.54,0.11
3/30/2016,2016,90,0.45,0.25,245.9,0.12
3/31/2016,2016,91,0.45,0.25,255.54,0.13
4/1/2016,2016,92,0.45,0.25,256.38,0.13
4/2/2016,2016,93,0.45,0.25,252.56,0.13
4/3/2016,2016,94,0.45,0.24,247.52,0.13
4/4/2016,2016,95,0.44,0.25,239.4,0.12
4/5/2016,2016,96,0.45,0.25,237.33,0.12
4/6/2016,2016,97,0.45,0.25,246.62,0.12
4/7/2016,2016,98,0.45,0.25,247.38,0.13
4/8/2016,2016,99,0.44,0.25,244.54,0.12
4/9/2016,2016,100,0.44,0.24,238.04,0.12
4/10/2016,2016,101,0.44,0.24,235.73,0.11
4/11/2016,2016,102,0.44,0.24,228.35,0.11
4/12/2016,2016,103,0.44,0.24,222.27,0.1
4/13/2016,2016,104,0.44,0.24,218.56,0.1
4/14/2016,2016,105,0.44,0.25,218.35,0.1
4/15/2016,2016,106,0.44,0.25,223.83,0.1
4/16/2016,2016,107,0.45,0.25,242.42,0.12
4/17/2016,2016,108,0.45,0.25,252.58,0.13
4/18/2016,2016,109,0.45,0.25,263.4,0.14
4/19/2016,2016,110,0.46,0.26,271.12,0.15
4/20/2016,2016,111,0.46,0.26,272.9,0.15
4/21/2016,2016,112,0.46,0.26,273.4,0.15
4/22/2016,2016,113,0.46,0.26,273.33,0.15
4/23/2016,2016,114,0.46,0.26,272.08,0.15
4/24/2016,2016,115,0.46,0.26,275.54,0.15
4/25/2016,2016,116,0.51,0.31,299.31,0.18
4/26/2016,2016,117,0.53,0.33,304.83,0.18
4/27/2016,2016,118,0.52,0.32,301.1,0.18
4/28/2016,2016,119,0.51,0.32,295.77,0.17
4/29/2016,2016,120,0.5,0.31,290.81,0.17
4/30/2016,2016,121,0.49,0.3,286.1,0.16
5/1/2016,2016,122,0.48,0.28,281.31,0.16
5/2/2016,2016,123,0.47,0.28,276.77,0.16
5/3/2016,2016,124,0.47,0.28,272.67,0.15
5/4/2016,2016,125,0.47,0.27,267.1,0.15
5/5/2016,2016,126,0.46,0.26,262.4,0.14
5/6/2016,2016,127,0.46,0.26,258.29,0.14
5/7/2016,2016,128,0.45,0.25,253.12,0.13
5/8/2016,2016,129,0.45,0.25,248,0.13
5/9/2016,2016,130,0.45,0.25,241.46,0.12
5/10/2016,2016,131,0.45,0.24,237.46,0.12
5/11/2016,2016,132,0.45,0.24,239.29,0.12
5/12/2016,2016,133,0.45,0.24,240.92,0.12
5/13/2016,2016,134,0.44,0.24,237.31,0.12
5/14/2016,2016,135,0.44,0.24,234.31,0.11
5/15/2016,2016,136,0.44,0.24,232.27,0.11
5/16/2016,2016,137,0.44,0.24,230.48,0.11
5/17/2016,2016,138,0.44,0.24,224.62,0.1
5/18/2016,2016,139,0.44,0.23,218.46,0.1
5/19/2016,2016,140,0.43,0.23,211.75,0.09
5/20/2016,2016,141,0.43,0.23,204.35,0.08
5/21/2016,2016,142,0.43,0.22,196.98,0.08
5/22/2016,2016,143,0.43,0.22,190.12,0.07
5/23/2016,2016,144,0.43,0.22,182.6,0.06
5/24/2016,2016,145,0.42,0.21,178.04,0.06
5/25/2016,2016,146,0.42,0.21,173.21,0.05
5/26/2016,2016,147,0.42,0.21,171.12,0.05
5/27/2016,2016,148,0.42,0.21,174.9,0.05
5/28/2016,2016,149,0.42,0.21,189.65,0.07
5/29/2016,2016,150,0.42,0.22,189.29,0.07
5/30/2016,2016,151,0.42,0.21,180.65,0.06
5/31/2016,2016,152,0.42,0.23,211.88,0.09
6/1/2016,2016,153,0.43,0.23,229.21,0.11
6/2/2016,2016,154,0.43,0.23,225.69,0.1
6/3/2016,2016,155,0.42,0.23,221.02,0.1
6/4/2016,2016,156,0.43,0.23,233.35,0.11
6/5/2016,2016,157,0.42,0.23,228.62,0.11
6/6/2016,2016,158,0.43,0.23,231.77,0.11
6/7/2016,2016,159,0.42,0.23,217.71,0.1
6/8/2016,2016,160,0.42,0.23,204.67,0.08
6/9/2016,2016,161,0.42,0.23,193,0.07
6/10/2016,2016,162,0.42,0.22,181.87,0.06
6/11/2016,2016,163,0.42,0.21,171.1,0.05
6/12/2016,2016,164,0.41,0.21,168.92,0.05
6/13/2016,2016,165,0.42,0.22,195.48,0.07
6/14/2016,2016,166,0.42,0.22,126.34,0
6/15/2016,2016,167,0.42,0.24,-5.56,-0.06
6/16/2016,2016,168,0.42,0.23,-130.73,-0.07
6/17/2016,2016,169,0.42,0.23,-133.35,-0.07
6/18/2016,2016,170,0.42,0.23,-133.48,-0.07
6/19/2016,2016,171,0.42,0.23,-145.94,-0.08
6/20/2016,2016,172,0.42,0.23,-160.46,-0.1
6/21/2016,2016,173,0.42,0.22,-173.13,-0.11
6/22/2016,2016,174,0.41,0.22,-182.19,-0.12
6/23/2016,2016,175,0.41,0.22,-183.12,-0.12
6/24/2016,2016,176,0.41,0.21,-194.6,-0.13
6/25/2016,2016,177,0.41,0.21,-188.54,-0.13
6/26/2016,2016,178,0.41,0.21,-170.35,-0.11
6/27/2016,2016,179,0.41,0.21,-182.48,-0.12
6/28/2016,2016,180,0.41,0.21,-193.46,-0.13
6/29/2016,2016,181,0.41,0.2,-203.48,-0.14
6/30/2016,2016,182,0.41,0.2,-209.27,-0.15
7/1/2016,2016,183,0.4,0.2,-216.96,-0.15
7/2/2016,2016,184,0.4,0.2,-225.02,-0.16
7/3/2016,2016,185,0.4,0.2,-231.9,-0.17
7/4/2016,2016,186,0.4,0.19,-237.88,-0.18
7/5/2016,2016,187,0.4,0.2,-239.98,-0.18
7/6/2016,2016,188,0.4,0.2,-230.17,-0.17
7/7/2016,2016,189,0.4,0.21,-224.17,-0.16
7/8/2016,2016,190,0.41,0.22,-142.56,-0.08
7/9/2016,2016,191,0.41,0.22,-155.73,-0.09
7/10/2016,2016,192,0.41,0.22,-165.08,-0.1
7/11/2016,2016,193,0.41,0.22,-151.25,-0.09
7/12/2016,2016,194,0.41,0.22,-137.1,-0.07
7/13/2016,2016,195,0.41,0.22,-148.33,-0.09
7/14/2016,2016,196,0.41,0.22,-144.23,-0.08
7/15/2016,2016,197,0.41,0.22,-154.94,-0.09
7/16/2016,2016,198,0.41,0.21,-166.92,-0.1
7/17/2016,2016,199,0.4,0.21,-171.08,-0.11
7/18/2016,2016,200,0.4,0.21,-176.19,-0.11
7/19/2016,2016,201,0.4,0.21,-187.52,-0.13
7/20/2016,2016,202,0.4,0.2,-195.04,-0.13
7/21/2016,2016,203,0.4,0.21,-176.52,-0.11
7/22/2016,2016,204,0.4,0.21,-188,-0.13
7/23/2016,2016,205,0.4,0.2,-199.98,-0.14
7/24/2016,2016,206,0.4,0.2,-209.04,-0.15
7/25/2016,2016,207,0.4,0.19,-219.46,-0.16
7/26/2016,2016,208,0.39,0.19,-228.4,-0.17
7/27/2016,2016,209,0.4,0.21,-178.54,-0.12
7/28/2016,2016,210,0.4,0.22,-152.21,-0.09
7/29/2016,2016,211,0.4,0.21,-166.46,-0.1
7/30/2016,2016,212,0.4,0.21,-179.71,-0.12
7/31/2016,2016,213,0.4,0.2,-190.31,-0.13
8/1/2016,2016,214,0.4,0.19,-201.12,-0.14
8/2/2016,2016,215,0.41,0.22,-137.35,-0.08
8/3/2016,2016,216,0.4,0.22,-137.08,-0.07
8/4/2016,2016,217,0.42,0.24,-93.27,-0.03
8/5/2016,2016,218,0.41,0.23,-104.31,-0.04
8/6/2016,2016,219,0.41,0.23,-118.27,-0.06
8/7/2016,2016,220,0.41,0.22,-130,-0.07
8/8/2016,2016,221,0.41,0.22,-140.71,-0.08
8/9/2016,2016,222,0.4,0.21,-150.98,-0.09
8/10/2016,2016,223,0.4,0.22,-144.06,-0.08
8/11/2016,2016,224,0.4,0.22,-144.77,-0.08
8/12/2016,2016,225,0.4,0.22,-151.17,-0.09
8/13/2016,2016,226,0.41,0.22,-123.62,-0.06
8/14/2016,2016,227,0.41,0.22,-133.83,-0.07
8/15/2016,2016,228,0.4,0.21,-145.15,-0.08
8/16/2016,2016,229,0.4,0.21,-155.19,-0.09
8/17/2016,2016,230,0.4,0.2,-166,-0.1
8/18/2016,2016,231,0.4,0.2,-175.02,-0.11
8/19/2016,2016,232,0.4,0.2,-183.71,-0.12
8/20/2016,2016,233,0.4,0.19,-189.92,-0.13
8/21/2016,2016,234,0.39,0.19,-195.85,-0.13
8/22/2016,2016,235,0.39,0.19,-205.67,-0.14
8/23/2016,2016,236,0.39,0.19,-215.17,-0.15
8/24/2016,2016,237,0.39,0.19,-224.94,-0.16
8/25/2016,2016,238,0.39,0.18,-233.96,-0.17
8/26/2016,2016,239,0.39,0.18,-239.73,-0.18
8/27/2016,2016,240,0.39,0.19,-237.83,-0.18
8/28/2016,2016,241,0.39,0.2,-215.48,-0.15
8/29/2016,2016,242,0.41,0.23,-124.71,-0.06
8/30/2016,2016,243,0.4,0.22,-122.96,-0.06
8/31/2016,2016,244,0.4,0.22,-134.65,-0.07
9/1/2016,2016,245,0.4,0.21,-143.73,-0.08
9/2/2016,2016,246,0.4,0.2,-151.65,-0.09
9/3/2016,2016,247,0.39,0.2,-159.83,-0.1
9/4/2016,2016,248,0.39,0.19,-167.83,-0.11
9/5/2016,2016,249,0.4,0.2,-149.35,-0.09
9/6/2016,2016,250,0.4,0.21,-138.81,-0.08
9/7/2016,2016,251,0.4,0.21,-136.29,-0.07
9/8/2016,2016,252,0.42,0.23,-71.04,-0.01
9/9/2016,2016,253,0.41,0.23,-83.52,-0.02
9/10/2016,2016,254,0.41,0.23,-96.54,-0.03
9/11/2016,2016,255,0.41,0.22,-105.33,-0.04
9/12/2016,2016,256,0.4,0.22,-112.85,-0.05
9/13/2016,2016,257,0.4,0.21,-120.1,-0.06
9/14/2016,2016,258,0.4,0.21,-127.67,-0.07
9/15/2016,2016,259,0.4,0.2,-133.58,-0.07
9/16/2016,2016,260,0.4,0.2,-134.77,-0.07
9/17/2016,2016,261,0.4,0.2,-133.96,-0.07
9/18/2016,2016,262,0.4,0.2,-139.54,-0.08
9/19/2016,2016,263,0.4,0.2,-144.29,-0.08
9/20/2016,2016,264,0.4,0.2,-152.38,-0.09
9/21/2016,2016,265,0.39,0.2,-158.75,-0.1
9/22/2016,2016,266,0.39,0.2,-165.89,-0.1
9/23/2016,2016,267,0.39,0.19,-173.56,-0.11
9/24/2016,2016,268,0.39,0.19,-178.23,-0.12
9/25/2016,2016,269,0.41,0.22,-111.19,-0.05
9/26/2016,2016,270,0.41,0.22,-84.98,-0.02
9/27/2016,2016,271,0.41,0.22,-85.77,-0.02
9/28/2016,2016,272,0.4,0.22,-94.04,-0.03
9/29/2016,2016,273,0.4,0.22,-102.06,-0.04
9/30/2016,2016,274,0.4,0.22,-108.5,-0.05
10/1/2016,2016,275,0.4,0.22,-114.75,-0.05
10/2/2016,2016,276,0.4,0.21,-122.06,-0.06
10/3/2016,2016,277,0.4,0.21,-128.83,-0.07
10/4/2016,2016,278,0.4,0.2,-134.62,-0.07
10/5/2016,2016,279,0.4,0.2,-135.1,-0.07
10/6/2016,2016,280,0.39,0.2,-142.56,-0.08
10/7/2016,2016,281,0.39,0.2,-138.56,-0.08
10/8/2016,2016,282,0.39,0.2,-144.42,-0.08
10/9/2016,2016,283,0.39,0.2,-149.94,-0.09
10/10/2016,2016,284,0.39,0.19,-154.88,-0.09
10/11/2016,2016,285,0.39,0.19,-158.65,-0.1
10/12/2016,2016,286,0.39,0.19,-158.71,-0.1
10/13/2016,2016,287,0.39,0.19,-163.56,-0.1
10/14/2016,2016,288,0.39,0.19,-167.27,-0.1
10/15/2016,2016,289,0.39,0.19,-170.62,-0.11
10/16/2016,2016,290,0.39,0.19,-173.62,-0.11
10/17/2016,2016,291,0.39,0.2,-154.85,-0.09
10/18/2016,2016,292,0.39,0.2,-152.88,-0.09
10/19/2016,2016,293,0.39,0.2,-160.56,-0.1
10/20/2016,2016,294,0.39,0.2,-165.9,-0.1
10/21/2016,2016,295,0.39,0.2,-168.27,-0.11
10/22/2016,2016,296,0.39,0.19,-171.56,-0.11
10/23/2016,2016,297,0.39,0.19,-174.81,-0.11
10/24/2016,2016,298,0.39,0.19,-177.94,-0.12
10/25/2016,2016,299,0.39,0.19,-180.83,-0.12
10/26/2016,2016,300,0.39,0.19,-180.65,-0.12
10/27/2016,2016,301,0.39,0.19,-177.83,-0.12
10/28/2016,2016,302,0.39,0.19,-178.27,-0.12
10/29/2016,2016,303,0.39,0.19,-180.88,-0.12
10/30/2016,2016,304,0.39,0.19,-183.48,-0.12
10/31/2016,2016,305,0.39,0.19,-183.06,-0.12
11/1/2016,2016,306,0.39,0.19,-184.19,-0.12
11/2/2016,2016,307,0.39,0.19,-188.79,-0.13
11/3/2016,2016,308,0.39,0.19,-191.35,-0.13
11/4/2016,2016,309,0.38,0.19,-193.31,-0.13
11/5/2016,2016,310,0.38,0.19,-196,-0.13
11/6/2016,2016,311,0.38,0.19,-198.04,-0.14
11/7/2016,2016,312,0.38,0.19,-201.38,-0.14
11/8/2016,2016,313,0.38,0.18,-206.12,-0.14
11/9/2016,2016,314,0.38,0.18,-207.77,-0.15
11/10/2016,2016,315,0.38,0.18,-210.65,-0.15
11/11/2016,2016,316,0.37,0.18,-216.73,-0.15
11/12/2016,2016,317,0.38,0.18,-218.08,-0.16
11/13/2016,2016,318,0.38,0.18,-220.23,-0.16
11/14/2016,2016,319,0.38,0.18,-223.27,-0.16
11/15/2016,2016,320,0.38,0.18,-224.27,-0.16
11/16/2016,2016,321,0.38,0.18,-226.12,-0.16
11/17/2016,2016,322,0.38,0.18,-227.71,-0.17
11/18/2016,2016,323,0.39,0.21,-172.88,-0.11
11/19/2016,2016,324,0.39,0.21,-143.31,-0.08
11/20/2016,2016,325,0.38,0.2,-150.35,-0.09
11/21/2016,2016,326,0.38,0.2,-152.1,-0.09
11/22/2016,2016,327,0.39,0.21,-149.1,-0.09
11/23/2016,2016,328,0.39,0.22,-134.25,-0.07
11/24/2016,2016,329,0.39,0.22,-126.1,-0.06
11/25/2016,2016,330,0.39,0.21,-126.69,-0.06
11/26/2016,2016,331,0.38,0.21,-128.73,-0.07
11/27/2016,2016,332,0.38,0.21,-130.67,-0.07
11/28/2016,2016,333,0.39,0.22,-108.17,-0.05
11/29/2016,2016,334,0.39,0.22,-82.4,-0.02
11/30/2016,2016,335,0.39,0.22,-70.15,-0.01
12/1/2016,2016,336,0.39,0.22,-62.62,0
12/2/2016,2016,337,0.39,0.22,-60.06,0
12/3/2016,2016,338,0.39,0.22,-61.58,0
12/4/2016,2016,339,0.39,0.22,-63.23,0
12/5/2016,2016,340,0.39,0.22,-59.81,0
12/6/2016,2016,341,0.39,0.23,-54.69,0.01
12/7/2016,2016,342,0.39,0.22,-68.29,-0.01
12/8/2016,2016,343,0.39,0.21,-79,-0.02
12/9/2016,2016,344,0.39,0.2,-86.96,-0.02
12/10/2016,2016,345,0.38,0.2,-93.75,-0.03
12/11/2016,2016,346,0.36,0.19,-98.85,-0.04
12/12/2016,2016,347,0.36,0.19,-102.12,-0.04
12/13/2016,2016,348,0.36,0.19,-106.02,-0.04
12/14/2016,2016,349,0.36,0.19,-109.25,-0.05
12/15/2016,2016,350,0.35,0.18,-113.92,-0.05
12/16/2016,2016,351,0.35,0.14,-115.54,-0.05
12/17/2016,2016,352,0.35,0.11,-118.02,-0.06
12/18/2016,2016,353,0.34,0.08,-122.32,-0.06
12/19/2016,2016,354,0.33,0.08,-122.4,-0.06
12/20/2016,2016,355,0.35,0.09,-121.27,-0.06
12/21/2016,2016,356,0.36,0.09,-122.12,-0.06
12/22/2016,2016,357,0.37,0.12,-123.56,-0.06
12/23/2016,2016,358,0.37,0.15,-123.73,-0.06
12/24/2016,2016,359,0.37,0.18,-125.17,-0.06
12/25/2016,2016,360,0.36,0.18,-125.75,-0.06
12/26/2016,2016,361,0.37,0.2,-118.5,-0.06
12/27/2016,2016,362,0.37,0.2,-121.6,-0.06
12/28/2016,2016,363,0.37,0.2,-121.96,-0.06
12/29/2016,2016,364,0.38,0.2,-122.79,-0.06
12/30/2016,2016,365,0.37,0.2,-123.77,-0.06
1/1/2017,2017,1,0.48,0.09,-126.63,-0.06
1/2/2017,2017,2,0.47,0.08,-128.69,-0.07
1/3/2017,2017,3,0.47,0.09,-127.81,-0.07
1/4/2017,2017,4,0.42,0.08,-130.84,-0.07
1/5/2017,2017,5,0.36,0.08,-133.35,-0.07
1/6/2017,2017,6,0.34,0.07,-136.69,-0.07
1/7/2017,2017,7,0.33,0.08,-140.4,-0.08
1/8/2017,2017,8,0.32,0.07,-141.84,-0.08
1/9/2017,2017,9,0.31,0.07,-141.42,-0.08
1/10/2017,2017,10,0.31,0.07,-139,-0.08
1/11/2017,2017,11,0.3,0.07,-139.41,-0.08
1/12/2017,2017,12,0.28,0.07,-143.74,-0.08
1/13/2017,2017,13,0.24,0.06,-150.62,-0.09
1/14/2017,2017,14,0.23,0.06,-151.16,-0.09
1/15/2017,2017,15,0.22,0.06,-151.47,-0.09
1/16/2017,2017,16,0.22,0.06,-152.24,-0.09
1/17/2017,2017,17,0.22,0.07,-152.41,-0.09
1/18/2017,2017,18,0.23,0.07,-152.13,-0.09
1/19/2017,2017,19,0.24,0.09,-152.03,-0.09
1/20/2017,2017,20,0.26,0.1,-149.75,-0.09
1/21/2017,2017,21,0.3,0.1,-142.19,-0.08
1/22/2017,2017,22,0.37,0.12,-136.2,-0.07
1/23/2017,2017,23,0.4,0.12,-132.02,-0.07
1/24/2017,2017,24,0.41,0.13,-134.32,-0.07
1/25/2017,2017,25,0.42,0.12,-139.18,-0.08
1/26/2017,2017,26,0.43,0.12,-143.54,-0.08
1/27/2017,2017,27,0.43,0.11,-147.04,-0.08
1/28/2017,2017,28,0.43,0.11,-148.29,-0.09
1/29/2017,2017,29,0.44,0.1,-150.31,-0.09
1/30/2017,2017,30,0.44,0.1,-150.36,-0.09
1/31/2017,2017,31,0.44,0.1,-149.93,-0.09
2/1/2017,2017,32,0.44,0.09,-151.99,-0.09
2/2/2017,2017,33,0.43,0.09,-154.97,-0.09
2/3/2017,2017,34,0.38,0.08,-157.14,-0.09
2/4/2017,2017,35,0.36,0.08,-157.31,-0.1
2/5/2017,2017,36,0.36,0.08,-158.26,-0.1
2/6/2017,2017,37,0.35,0.08,-158.61,-0.1
2/7/2017,2017,38,0.35,0.07,-158.51,-0.1
2/8/2017,2017,39,0.34,0.08,-160.63,-0.1
2/9/2017,2017,40,0.32,0.08,-162.07,-0.1
2/10/2017,2017,41,0.32,0.08,-160.74,-0.1
2/11/2017,2017,42,0.33,0.1,-161.55,-0.1
2/12/2017,2017,43,0.34,0.11,-162.18,-0.1
2/13/2017,2017,44,0.35,0.1,-162.51,-0.1
2/14/2017,2017,45,0.35,0.11,-161.89,-0.1
2/15/2017,2017,46,0.36,0.09,-163.07,-0.1
2/16/2017,2017,47,0.36,0.09,-162.34,-0.1
2/17/2017,2017,48,0.37,0.11,-161.11,-0.1
2/18/2017,2017,49,0.38,0.11,-160.17,-0.1
2/19/2017,2017,50,0.39,0.12,-157.6,-0.1
2/20/2017,2017,51,0.41,0.13,-126.81,-0.07
2/21/2017,2017,52,0.44,0.13,-84.78,-0.02
2/22/2017,2017,53,0.45,0.13,-80.8,-0.02
2/23/2017,2017,54,0.46,0.13,-76.82,-0.01
2/24/2017,2017,55,0.46,0.11,-91.45,-0.03
2/25/2017,2017,56,0.47,0.1,-101.98,-0.04
2/26/2017,2017,57,0.47,0.09,-108.22,-0.05
2/27/2017,2017,58,0.47,0.09,-114.68,-0.05
2/28/2017,2017,59,0.47,0.1,-117.01,-0.05
3/1/2017,2017,60,0.47,0.09,-120.45,-0.06
3/2/2017,2017,61,0.47,0.08,-125.29,-0.06
3/3/2017,2017,62,0.46,0.08,-131.6,-0.07
3/4/2017,2017,63,0.45,0.09,-131.4,-0.07
3/5/2017,2017,64,0.45,0.1,-131.35,-0.07
3/6/2017,2017,65,0.46,0.11,-125.2,-0.06
3/7/2017,2017,66,0.47,0.12,-101.63,-0.04
3/8/2017,2017,67,0.48,0.11,-110.69,-0.05
3/9/2017,2017,68,0.47,0.1,-118.84,-0.06
3/10/2017,2017,69,0.46,0.08,-127.1,-0.06
3/11/2017,2017,70,0.41,0.07,-131.24,-0.07
3/12/2017,2017,71,0.37,0.07,-131.72,-0.07
3/13/2017,2017,72,0.35,0.07,-134.2,-0.07
3/14/2017,2017,73,0.34,0.07,-137.37,-0.07
3/15/2017,2017,74,0.34,0.08,-137.3,-0.08
3/16/2017,2017,75,0.34,0.08,-136.52,-0.07
3/17/2017,2017,76,0.35,0.1,-130.72,-0.07
3/18/2017,2017,77,0.36,0.1,-132.4,-0.07
3/19/2017,2017,78,0.39,0.1,-134.16,-0.07
3/20/2017,2017,79,0.41,0.11,-131.71,-0.07
3/21/2017,2017,80,0.42,0.11,-131.85,-0.07
3/22/2017,2017,81,0.43,0.11,-137.53,-0.08
3/23/2017,2017,82,0.44,0.12,-132.68,-0.07
3/24/2017,2017,83,0.45,0.13,-97.79,-0.04
3/25/2017,2017,84,0.47,0.13,-73.56,-0.01
3/26/2017,2017,85,0.49,0.13,-54.9,0.01
3/27/2017,2017,86,0.51,0.13,-43.65,0.02
3/28/2017,2017,87,0.52,0.14,-41.09,0.02
3/29/2017,2017,88,0.54,0.14,-32.38,0.03
3/30/2017,2017,89,0.6,0.14,-15.56,0.05
3/31/2017,2017,90,0.65,0.14,-8.71,0.05
4/1/2017,2017,91,0.69,0.14,-3.55,0.06
4/2/2017,2017,92,0.71,0.14,-2.32,0.06
4/3/2017,2017,93,0.72,0.14,-2.93,0.06
4/4/2017,2017,94,0.72,0.14,-3.64,0.06
4/5/2017,2017,95,0.72,0.14,-3.83,0.06
4/6/2017,2017,96,0.71,0.14,-5.15,0.06
4/7/2017,2017,97,0.71,0.14,-5.94,0.06
4/8/2017,2017,98,0.71,0.14,-5.15,0.06
4/9/2017,2017,99,0.71,0.14,-4.34,0.06
4/10/2017,2017,100,0.71,0.14,-4.36,0.06
4/11/2017,2017,101,0.71,0.14,-4.77,0.06
4/12/2017,2017,102,0.71,0.14,-5.06,0.06
4/13/2017,2017,103,0.71,0.14,-5.71,0.06
4/14/2017,2017,104,0.71,0.14,-6.34,0.06
4/15/2017,2017,105,0.71,0.14,-6.49,0.06
4/16/2017,2017,106,0.71,0.14,-7.05,0.06
4/17/2017,2017,107,0.71,0.14,-7.38,0.05
4/18/2017,2017,108,0.83,0.15,14.13,0.08
4/19/2017,2017,109,0.89,0.14,16.89,0.08
4/20/2017,2017,110,0.9,0.15,26.14,0.09
4/21/2017,2017,111,0.9,0.14,22.88,0.09
4/22/2017,2017,112,0.89,0.14,16.16,0.08
